session_id,facility_id,facility_name,county,mentor_id,provider_id,provider_cadre,session_date,session_type,scenario,steps_expected,steps_done_correctly,teamwork_score,communication_score,guideline_adherence_score,overall_competence_level,followup_required,followup_type
S00001,F002,F002 Facility,Machakos,M007,P002,nurse_midwife,2025-06-14,bedside_coaching,eclampsia,16,5,3,2,4,beginner,True,repeat_drill
S00002,F029,F029 Facility,Kiambu,M015,P076,clinical_officer,2024-09-12,simulation_drill,PPH,16,5,4,2,5,beginner,True,repeat_drill
S00003,F025,F025 Facility,Kakamega,M010,P031,nurse_midwife,2025-03-27,simulation_drill,routine_delivery,13,5,3,2,3,beginner,True,repeat_drill
S00004,F023,F023 Facility,Kakamega,M014,P012,clinical_officer,2024-08-06,CME_session,sepsis,12,10,3,4,2,intermediate,True,none
S00005,F017,F017 Facility,Kisumu,M005,P031,nurse_midwife,2024-07-19,bedside_coaching,PPH,9,7,4,5,4,intermediate,True,none
S00006,F003,F003 Facility,Nairobi,M006,P023,clinical_officer,2024-12-08,CME_session,neonatal_resuscitation,11,8,2,4,3,intermediate,True,none
S00007,F012,F012 Facility,Murang'a,M014,P030,clinical_officer,2025-05-19,CME_session,PPH,16,9,2,5,4,beginner,True,repeat_drill
S00008,F026,F026 Facility,Kakamega,M009,P104,clinical_officer,2024-04-18,simulation_drill,eclampsia,14,12,2,2,2,advanced,False,none
S00009,F029,F029 Facility,Machakos,M011,P088,nurse_midwife,2024-04-10,CME_session,neonatal_resuscitation,9,8,2,2,2,advanced,False,none
S00010,F004,F004 Facility,Kakamega,M007,P099,clinical_officer,2024-09-12,bedside_coaching,routine_delivery,14,4,5,3,2,beginner,True,repeat_drill
S00011,F004,F004 Facility,Kakamega,M005,P089,nurse_midwife,2024-12-10,bedside_coaching,eclampsia,8,6,2,5,5,intermediate,True,none
S00012,F027,F027 Facility,Bungoma,M015,P013,clinical_officer,2025-07-28,CME_session,eclampsia,14,4,5,4,5,beginner,True,repeat_drill
S00013,F017,F017 Facility,Busia,M007,P109,nurse_midwife,2024-11-10,bedside_coaching,sepsis,9,6,2,4,2,intermediate,True,none
S00014,F001,F001 Facility,Kakamega,M018,P004,nurse_midwife,2025-06-13,simulation_drill,PPH,15,7,3,2,2,beginner,True,repeat_drill
